id,name,artists,acousticness,valence,energy,danceability,instrumentalness,loudness,speechiness,tempo,popularity,pop_grade
0UaMYEvWZi0ZqiDOoHU3YI,Lose Control (feat. Ciara & Fat Man Scoop),"['Missy Elliott', 'Ciara', 'Fatman Scoop']",0.0311,0.81,0.813,0.904,0.00697,-7.105,0.121,125.461,67.0,2
6I9VzXrHxO9rA9A5euc8Ak,Toxic,['Britney Spears'],0.0249,0.924,0.838,0.774,0.025,-3.914,0.114,143.04,80.0,4
1AWQoqb9bSvzTjaLralEkT,Rock Your Body,['Justin Timberlake'],0.202,0.818,0.7140000000000001,0.8909999999999999,0.000234,-6.055,0.14,100.972,72.0,2
68vgtRHr7iZHpzGpon6Jlo,My Boo,"['Usher', 'Alicia Keys']",0.257,0.6759999999999999,0.507,0.662,0.0,-8.238,0.118,86.412,80.0,4
3BxWKCI06eQ5Od8TY2JBeA,Buttons,['The Pussycat Dolls'],0.178,0.408,0.821,0.57,0.0,-4.38,0.267,210.857,65.0,2
7H6ev70Weq6DdpZyyTmUXk,Say My Name,"[""Destiny's Child""]",0.273,0.7340000000000001,0.6779999999999999,0.713,0.0,-3.525,0.102,138.009,77.0,3
2PpruBYCo4H7WOBJ7Q2EwM,Hey Ya! - Radio Mix,['OutKast'],0.103,0.965,0.974,0.727,0.000532,-2.261,0.0664,79.52600000000002,79.0,3
2gam98EZKrF9XuOkU13ApN,Promiscuous,"['Nelly Furtado', 'Timbaland']",0.0569,0.868,0.97,0.8079999999999999,6.13e-05,-6.098,0.0506,114.328,82.0,4
1HwpWwa6bnqqRhK8agG4RS,Beautiful Soul,['Jesse McCartney'],0.0759,0.933,0.6659999999999999,0.66,0.0,-4.342,0.0472,89.975,73.0,3
20ORwCJusz4KS2PbTPVNKo,Leavin',['Jesse McCartney'],0.0283,0.8859999999999999,0.71,0.687,3.71e-06,-5.84,0.0522,79.235,65.0,2
7k6IzwMGpxnRghE7YosnXT,Me & U,['Cassie'],0.352,0.7390000000000001,0.454,0.8029999999999999,0.0,-4.802,0.0294,99.99,73.0,3
